Date,Open,High,Low,Close,Volume,Adj Close
1988-10-06,29.25,30.25,29.25,30.25,19718400,0.372449
1988-10-07,30.25,31.125,29.875,31.0,58252800,0.381684
1988-10-10,31.0,31.75,30.875,31.5,27385600,0.38784
1988-10-11,31.5,31.75,31.125,31.625,23097600,0.389379
1988-10-12,31.625,31.625,31.125,31.25,15430400,0.384762
1988-10-13,31.25,31.5,31.125,31.25,11033600,0.384762
1988-10-14,31.25,32.625,31.25,32.25,53990400,0.397074
1988-10-17,32.25,32.5,32.0,32.25,12934400,0.397074
1988-10-18,32.25,32.25,31.75,32.25,10969600,0.397074
1988-10-19,32.375,33.0,32.375,32.75,23328000,0.40323000000000003
1988-10-20,32.75,33.375,32.625,33.25,13286400,0.409387
1988-10-21,33.25,34.375,33.125,34.0,52838400,0.418621
1988-10-24,34.0,34.375,33.25,33.5,14809600,0.41246499999999997
1988-10-25,33.5,33.5,32.75,33.25,19436800,0.409387
1988-10-26,33.25,33.375,33.0,33.125,15942400,0.407848
1988-10-27,33.125,33.875,31.75,31.875,22252800,0.392457
1988-10-28,31.875,32.375,31.875,32.375,17862400,0.398613
1988-10-31,32.25,32.25,31.75,32.0,8512000,0.393996
1988-11-01,32.0,32.25,31.25,31.25,12332800,0.384762
1988-11-02,31.25,31.75,31.0,31.25,16224000,0.384762
1988-11-03,32.125,33.125,32.125,32.875,77049600,0.404769
1988-11-04,32.875,33.25,32.5,33.0,21184000,0.40630900000000003
1988-11-07,32.875,32.875,32.625,32.75,29465600,0.40323000000000003
1988-11-08,32.875,33.25,32.875,33.0,10406400,0.40630900000000003
1988-11-09,33.0,33.125,32.625,33.125,10854400,0.407848
1988-11-10,33.125,33.75,32.875,33.5,25376000,0.41246499999999997
1988-11-11,33.5,33.625,32.625,32.625,30156800,0.40169099999999996
1988-11-14,32.625,33.0,32.625,32.625,14732800,0.40169099999999996
1988-11-15,32.625,32.875,32.5,32.75,21504000,0.40323000000000003
1988-11-16,32.75,32.75,31.875,31.875,36371200,0.392457
1988-11-17,31.875,32.25,31.125,31.25,22259200,0.384762
1988-11-18,31.25,31.375,30.5,30.875,16780800,0.38014499999999996
1988-11-21,30.75,30.75,30.25,30.5,15289600,0.37552800000000003
1988-11-22,30.5,30.5,29.0,29.5,118720000,0.363215
1988-11-23,29.5,30.0,29.25,29.75,52921600,0.366293
1988-11-25,29.625,29.625,29.25,29.25,21222400,0.360137
1988-11-28,29.25,29.375,27.875,28.0,46105600,0.34474699999999997
1988-11-29,28.0,28.25,26.625,28.125,101676800,0.34628600000000004
1988-11-30,28.125,28.5,28.0,28.375,45510400,0.349364
1988-12-01,28.375,29.25,28.25,28.75,27974400,0.353981
1988-12-02,28.75,29.125,28.625,28.625,19084800,0.35244200000000003
